,lat,lon,fs_parks
0,43.665269,-79.319796,29
1,43.67142,-79.445947,28
2,43.666224,-79.317693,28
3,43.653236,-79.376716,50
4,43.663722,-79.380288,50
5,43.657763,-79.389165,50
6,43.656729,-79.382736,50
7,43.664467,-79.414783,43
8,43.675492,-79.388858,50
9,43.674991,-79.396273,50
10,43.671944,-79.387778,50
11,43.662365,-79.351104,43
12,43.646144,-79.377962,50
13,43.663993,-79.358534,46
14,43.657266,-79.374756,50
15,43.6672144,-79.3452697,44
16,43.673939,-79.441159,26
17,43.657991,-79.340075,31
18,43.66745,-79.329408,40
19,43.672453,-79.338259,40
20,43.6592088,-79.3348396,30
21,43.689211,-79.35438,22
22,43.656927,-79.378497,50
23,43.658295,-79.372346,50
24,43.6940155,-79.2889842,15
25,43.6809164,-79.4229684,26
26,43.6910667,-79.39535,34
27,43.6975969,-79.39654,28
28,43.639832,-79.395954,50
29,43.667333,-79.399429,50
30,43.6480008,-79.383177,50
31,43.656518,-79.389099,50
32,43.687999,-79.38906,39
33,43.6563889,-79.45166667,34
34,43.639179,-79.399595,50
35,43.6616667,-79.40138889,50
36,43.66666667,-79.45833333,30
37,43.657192,-79.452559,32
38,43.6576,-79.4032,49
39,43.660694,-79.379052,50
40,43.636533,-79.395854,50
41,43.659777,-79.382767,50
42,43.643667,-79.380414,50
43,43.666233,-79.373327,48
44,43.640114,-79.393249,50
45,43.653766,-79.4016759,49
46,43.6587734,-79.443054,34
47,43.65388889,-79.44138889,29
48,43.65083333,-79.44305556,31
49,43.651238,-79.43868,33
50,43.6544915,-79.422634,33
51,43.6543604,-79.4655296,30
52,43.635932,-79.465083,21
53,43.654501,-79.460053,27
54,43.634896,-79.467763,21
55,43.6314,-79.4304,17
56,43.636731,-79.444966,22
57,43.6534268,-79.4512787,34
58,43.7112153,-79.39894,23
59,43.655227,-79.39201,50
60,43.685167,-79.34962,26
61,43.6704537,-79.39014,50
62,43.6691099,-79.38551,50
63,43.641389,-79.404444,50
64,43.643834,-79.396649,50
65,43.6545174,-79.3895315,50
66,43.665846,-79.404998,50
67,43.6461,-79.3895,50
68,43.671349,-79.29451,18
69,43.667208,-79.312315,30
70,43.669328,-79.288949,11
71,43.672571,-79.289,13
72,43.638497,-79.39192,50
73,43.662771,-79.315223,27
74,43.66852,-79.363525,34
75,43.652473,-79.401456,44
76,43.643975,-79.419576,38
77,43.651318,-79.36023,35
78,43.656094,-79.381484,50
79,43.670318,-79.405181,50
80,43.676667,-79.416111,42
81,43.640634,-79.435841,33
82,43.639444,-79.423611,40
83,43.67,-79.42083333,41
84,43.671389,-79.416389,48
85,43.68,-79.425,22
86,43.6394444,-79.42527778,37
87,43.675791,-79.40698,50
88,43.675556,-79.410278,50
89,43.674444,-79.414722,47
90,43.671513,-79.408317,50
91,43.6783213,-79.35822,29
92,43.6848652,-79.356602,26
93,43.68395,-79.347046,25
94,43.690537,-79.341307,22
95,43.704461,-79.423122,18
96,43.659195,-79.329196,32
97,43.651885,-79.3649,50
98,43.682645,-79.377557,38
99,43.6475,-79.43305556,43
100,43.6494896,-79.393535,50
101,43.671526,-79.44874,24
102,43.6452972,-79.3827914,50
103,43.6452091,-79.3960744,50
104,43.6555556,-79.43361111,37
105,43.678077,-79.390328,50
106,43.645665,-79.415345,44
107,43.6493472,-79.42668,42
108,43.660207,-79.361275,45
109,43.648655,-79.367061,48
110,43.648711,-79.389728,50
111,43.6605603,-79.3437663,39
112,43.6561111,-79.36138889,48
113,43.652219,-79.354455,34
114,43.650279,-79.356832,34
115,43.649147,-79.395504,50
116,43.643795,-79.375413,50
117,43.662085,-79.397735,50
118,43.659575,-79.365769,50
119,43.65205,-79.362198,41
120,43.668456,-79.393899,50
