,id,name,lat,lon,bikes,fs_parks,yelp_parks
0,fc7fa6476f3fce587eeb9e2200faa005,Simcoe St / Queen St W,43.65049,-79.3873,21,50,41
1,a93e2f7df07b08d45c3ae0a1502c184c,Bathurst St / Front St W,43.6413479,-79.4013882,3,50,32
2,ca19ceffb308e52cc30e908f7dd57475,Bay St / Harbour St (East),43.64215,-79.377,1,50,36
3,b64e9d0701f0c67b654468e6bfdba32a,East Liberty St / Western Battery Rd,43.6392777,-79.4115736,2,50,16
4,5e955f1219b3ebaf906b808073da5e1e,King St W / Brant St,43.645102,-79.3974498,8,50,36
5,3a6af188aaae40c51d6ec8d22cd104d2,Bloor St W / Gladstone Ave - SMART,43.6602021,-79.4342726,9,32,8
6,479d21ebdac47eb8e30a209268e0bebe,High Park Blvd / Parkside Dr,43.644887,-79.4564117,8,37,11
7,9be84ceedbc228a38abe565a95d0d0ab,20 Eaton Ave,43.680012,-79.3440325,6,28,13
8,3ffc414d28a17036998674a120f66c6f,Fort York Blvd / Garrison Rd,43.637381,-79.406112,2,50,22
9,32444ff0455dc908ae997a28379ebe7d,Housey St / Dan Leckie Way,43.63811,-79.397877,23,50,27
10,bf59891d338ebdd311b6d839cdde77b8,1525 Dundas St W,43.64957,-79.432446,4,40,9
11,32b49dd6da901eac98ec2028f4447d71,85 Lee Ave,43.6700692,-79.2971326,18,24,7
12,a5836251279be7a7699855d904f4ddf0,Mutual St / Shuter St (Arena Gardens),43.6559476,-79.3755883,11,50,41
13,010507feed5b8d87c40cd95933ed5654,Queen St E / Joseph Duggan Rd,43.6677628,-79.3081171,4,28,9
14,941a4749a64f58b21da983a2c679ee40,Heyworth Cres / Kingston Rd,43.6750806,-79.3068697,12,36,10
15,d9103bade315662e56fbbc902b342ee6,St Clair Ave W / Caledonia Rd,43.6754247,-79.4547813,3,24,3
16,e7c767f3a1e8dcb9a41229a68b69eaad,Wellington St W / Stafford St,43.6409957,-79.4096663,13,50,21
17,a7060ce11ef209bd9f6905ab5bd50a34,111 Broadview Ave,43.6593483,-79.3499366,17,39,23
18,947c5660ee75d790b7db219013ea64e7,Christie St / Dupont St,43.67168,-79.421192,11,37,12
19,b59204ea6e3eaa8ade44469b0cd3703e,Richmond St E / Jarvis St Green P,43.652634,-79.374222,0,50,40
20,893f13f8835cc86bd1bc0e16de10e92d,Bathurst St / Dundas St W,43.6519501,-79.4060978,17,50,23
21,b01afd080bfe7a9ae061756b868ef9f0,Oak St / Sackville St,43.6613642,-79.3641171,19,50,30
22,4c1ee1ccabcd1c9eaca449e5b3bbbb6f,24 Mountjoy Ave,43.6808774,-79.3304491,6,28,9
23,d2505c265a6e749d5d2be70c140f029d,Colgate Ave / Carlaw Ave,43.6623658,-79.3413344,5,39,18
24,a2f8dc99e24a4f75d8d8f3f98efbc535,Felstead Ave/Gillard Ave (Monarch Park),43.6791345,-79.3263159,21,28,9
25,290fef611ea995910eb2d8e6dee93350,Lower Jarvis St / The Esplanade,43.6478206,-79.3704721,3,50,34
26,31d87930da4eacc3748b5fee65f96259,Coronation Park (Martin Goodman Trail),43.635495,-79.4035221,1,43,22
27,edbbbbc2b0bd5c8322b6395633ce610c,101 Cedarvale Ave,43.6868681,-79.3110942,17,33,7
28,61b868926458c2406053b0bf2f81dcd6,St Clair Ave W / Oakwood Ave,43.678177,-79.435364,14,25,8
29,804d113fb2dbc6b44947189e9e8bff7d,Beltline Trail / Yonge St,43.6962302,-79.3950434,21,27,6
30,7a271c4cbc993e06ac677f78d5b6ba4b,Shaw St / Essex St - SMART,43.667076,-79.425116,10,39,8
31,d24c01668df7f8e972f3e5980bf1fc6e,St Clair Ave W / Robina Ave,43.68005,-79.43469,14,23,7
32,a76d410d56c1dadfbc8960683df209e2,Joseph J Piccininni Community Centre,43.675648,-79.4527619,8,22,3
33,910e92b9e361308bb305c6780fce822f,11 Spadina Rd,43.6677246,-79.4041365,9,50,19
34,56275b952451bea6cdc0a9e666ea363f,Vanauley St / Queen St W - SMART,43.648437,-79.39838,1,50,35
35,2904c293698dc248004b5f43e1a28f80,Sherbourne St / Wellesley St E,43.6673,-79.374,15,48,31
36,2e6dd23e4dee03087c5e80f76cda5519,Queen St W / Bay St (City Hall),43.6517925,-79.3826951,20,50,39
37,90753b36d53f9713816264fff0eb5cba,Queen St W / Roncesvalles Ave,43.6372958,-79.4423237,4,25,8
